-0.88,-70.55
-0.85,-70.06
-0.82,-69.53
-0.79,-69.10
-0.79,-69.49
-0.78,-69.14
-0.79,-69.90
-0.78,-69.36
-0.78,-69.07
-0.77,-68.42
-0.77,-68.33
-0.73,-67.00
-0.68,-66.30
-0.64,-66.16
-0.60,-65.36
-0.57,-65.22
-0.54,-64.96
-0.52,-65.65
-0.48,-65.09
-0.45,-64.97
-0.43,-65.31
-0.41,-65.82
-0.39,-65.79
-0.38,-66.18
-0.38,-66.24
-0.38,-66.27
-0.38,-66.54
-0.39,-67.03
-0.42,-69.00
-0.45,-69.41
-0.48,-69.97
-0.51,-70.33
-0.53,-70.97
-0.57,-71.60
-0.59,-72.18
-0.63,-72.92
-0.69,-73.62
-0.73,-73.37
-0.78,-74.02
-0.76,-69.59
-0.74,-69.57
-0.73,-70.02
-0.71,-69.67
-0.72,-69.97
-0.72,-70.08
-0.73,-70.19
-0.74,-70.16
-0.74,-70.05
-0.76,-69.95
-0.74,-69.45
-0.73,-69.19
-0.72,-69.41
-0.68,-68.85
-0.68,-69.62
-0.67,-69.37
-0.67,-69.76
-0.67,-69.81
-0.66,-69.06
-0.64,-68.86
-0.65,-68.42
-0.61,-67.38
-0.62,-71.42
-0.66,-72.18
-0.69,-72.55
-0.70,-72.69
-0.72,-72.98
-0.73,-73.22
-0.76,-73.71
-0.80,-74.50
-0.81,-74.35
-0.85,-74.71
-0.89,-74.64
-0.87,-72.88
-0.88,-72.98
-0.86,-72.79
-0.85,-73.10
-0.88,-74.29
-0.87,-73.99
-0.86,-74.21
-0.87,-74.25
-0.89,-75.16
-0.90,-75.10
-0.90,-74.93
-0.93,-74.88
-0.89,-73.62
-0.89,-74.01
-0.89,-74.03
-0.86,-73.45
-0.83,-74.27
-0.85,-74.36
-0.85,-74.74
-0.87,-75.60
-0.89,-75.75
-0.94,-76.44
-0.98,-78.21
-1.05,-78.56
-1.08,-78.00
-1.08,-78.15
-1.07,-78.16
-1.06,-79.44
-1.06,-79.92
-1.06,-81.24
-1.08,-81.93
-1.14,-83.31
-1.17,-83.59
-1.18,-83.05
-1.17,-83.04
-1.15,-83.25
-1.12,-83.78
-1.15,-85.33
-1.17,-86.04
-1.21,-86.10
-1.22,-86.49
-1.22,-85.92
-1.18,-85.88
-1.17,-85.83
-1.13,-85.43
-1.11,-85.73
-1.11,-86.47
-1.08,-85.45
-1.05,-85.86
-1.02,-85.89
-1.01,-86.84
-1.00,-86.28
-1.01,-86.92
-1.00,-86.72
-0.99,-85.24
-1.00,-88.38
-0.99,-88.31
-0.97,-87.15
-0.96,-87.35
-0.94,-87.17
-0.93,-87.22
-0.95,-87.39
-0.96,-87.55
-0.97,-86.46
-0.94,-85.19
-0.89,-84.34
-0.84,-80.76
-0.75,-79.53
-0.68,-78.49
-0.61,-77.41
-0.52,-76.20
-0.45,-75.66
-0.39,-74.57
-0.33,-73.79
-0.26,-72.18
-0.19,-71.20
-0.12,-70.17
-0.07,-72.01
-0.02,-71.79
0.01,-71.34
0.04,-70.31
0.08,-69.13
0.12,-68.34
0.15,-67.13
0.19,-66.07
0.22,-65.16
0.26,-64.14
0.30,-63.34
0.37,-62.43
0.42,-62.42
0.40,-65.65
0.37,-65.58
0.34,-65.46
0.33,-65.13
0.30,-64.97
0.27,-64.62
0.28,-63.36
0.26,-63.05
0.26,-62.13
0.27,-60.90
0.28,-59.95
0.30,-59.51
0.31,-59.38
0.29,-60.86
0.28,-59.69
0.27,-59.79
0.25,-59.68
0.24,-59.85
0.21,-60.26
0.20,-60.42
0.18,-60.55
0.15,-60.45
0.12,-61.03
0.08,-61.22
0.02,-61.87
-0.03,-62.37
-0.07,-62.14
-0.13,-64.19
-0.18,-64.95
-0.25,-65.74
-0.29,-65.61
-0.33,-66.30
-0.37,-66.55
-0.42,-67.39
-0.45,-67.90
-0.49,-68.62
-0.52,-69.23
-0.56,-70.37
-0.63,-69.45
-0.67,-69.46
-0.72,-69.69
-0.74,-70.05
-0.76,-69.95
-0.77,-69.72
-0.79,-70.07
-0.79,-70.55
-0.82,-71.35
-0.85,-71.61
-0.85,-71.54
-0.86,-70.98
-0.85,-71.17
-0.88,-72.36
-0.89,-72.48
-0.92,-73.60
-0.94,-74.16
-0.99,-74.83
-1.01,-74.76
-1.04,-75.49
-1.06,-75.67
-1.07,-75.84
-1.05,-72.68
-1.02,-72.01
-0.96,-71.08
-0.94,-71.42
-0.90,-70.69
-0.86,-70.34
-0.84,-70.55
-0.77,-69.58
-0.71,-68.73
-0.71,-69.24
-0.69,-69.59
-0.64,-68.51
-0.63,-67.89
-0.59,-67.51
-0.56,-67.61
-0.54,-67.80
-0.51,-67.46
-0.52,-67.37
-0.53,-67.21
-0.54,-66.59
-0.51,-65.46
-0.48,-65.04
-0.49,-67.86
-0.50,-68.04
-0.51,-68.46
-0.51,-68.26
-0.54,-68.57
-0.55,-68.33
-0.53,-67.45
-0.52,-67.18
-0.51,-67.43
-0.49,-67.65
-0.49,-68.09
-0.51,-67.54
-0.50,-66.86
-0.47,-66.89
-0.44,-66.45
-0.42,-67.00
-0.44,-68.42
-0.47,-70.29
-0.54,-71.82
-0.60,-71.81
-0.66,-71.72
-0.69,-72.18
-0.71,-72.07
-0.72,-72.39
-0.75,-72.26
-0.78,-72.34
